acres,parcel_count,min_dist_mi,owner,owner_type,zoning,zoning_threat_baseline,compactness,location,lat,lon,parcels
8851.25,147,2.66,,individual,"Ada County/Boise:A-1, Ada County/Boise:A-2, Ada County/Boise:R-1A, Ada County/Boise:R-1B, Ada County/Boise:R-1C, Ada County/Boise:RP, Ada County/Boise:SP-01, Ada County/Boise:SP-02",Low,0.786,S COUNCIL SPRING RD,43.578246,-116.084756,"R1035220840,R1035240240,R1035150030,R1035150040,R1035150050,R1035150270,R1035170010,R1035190140,R2038000410,R3482100010,R3482100250,R3482100340,R3482100350,R3582670220,R5983390030,R5983350010,R5983350100,R5983350480,R5983360032,R7181810190,R7475360220,R9404671025,R9404672025,R9404680010,R9404680020,R9404680040,S1012110300,S0933110000,S0934111000,S0934314820,S0935100000,S1013417300,S1013417515,S1013417612,S1013427900,S1013428000,S1013438530,S1013449500,S0907314810,S0907324803,S0907346600,S0907346700,S0907417210,S0908336150,S0908346605,S0908346720,S0915120600,S0916110000,S0917110100,S0917120750,S0917212410,S0917230000,S0917311000,S0917330000,S0918110020,S0918110400,S0918120600,S0918121000,S0918131200,S0918131500,S0918141800,S0918212400,S0918420000,S0918438860,S0918449050,S0919110300,S0919110520,S0919110590,S0920110155,S0920211000,S0920212050,S0920230000,S0920243500,S0920315010,S0920315050,S0920315120,S0920336325,S0920417550,S0920438560,S0921110010,S0921220000,S0921336315,S0922100000,S0923230000,S0926100000,S0926210000,S0926230000,S0926325400,S0927100000,S0927300000,S0928100000,S0928314810,S0928449500,S1601231050,S1602110000,S1602131190,S1602131300,S1602132500,S1602133685,S1602134970,S1602141110,S1602141800,S1602141900,S1602210000,S1602230000,S1602243700,S1602244200,S1602244250,S1602244300,S1602244350,S1602311100,S1602311140,S1602311300,S1602312000,S1602313640,S1602314625,S1602314810,S1602314850,S1602314900,S1602320000,S1602334790,S1602341185,S1602342495,S1602342740,S1602343740,S1602344927,S1602417200,S1602417300,S1602438400,S1602438500,S1603110000,S1603121000,S1603130000,S1603410000,S1611121375,S1611212445,S1611212547,S1611212565,S1611221110,S1611221150,S1611221200,S1611221250,S1611223075,S1611223200,S1611223250,S1611224900,S1611244200"
8606.55,146,0.17,,individual,"Ada County/Boise:A-1, Ada County/Boise:A-2, Ada County/Boise:C2, Ada County/Boise:I-3, Ada County/Boise:M2, Ada County/Boise:M3, Ada County/Boise:MX-2, Ada County/Boise:R-1B, Ada County/Boise:R-1C, Ada County/Boise:R-2, Ada County/Boise:RP, Ada County/Boise:RR, Ada County/Boise:RUT, Ada County/Boise:SP-01",Low,0.543,E COLUMBIA RD,43.509425,-116.104569,"R3466000020,R3466000060,R5350490000,R5350490020,R5350490040,R5350490060,R5567830026,R5567830055,R8226690140,R8226700015,R8226710010,R8226680010,S0932110110,S0932120983,S0932121000,S0932141905,S0933121101,S0933212465,S0933346700,S0933417700,S0928333150,S0928336050,S0928336350,S0929347000,S0929438572,S0929438600,S0929438650,S0929438800,S0929449100,S0929449200,S0929449860,S0929449910,S0929449950,S1623223025,S1501142005,S1501142105,S1623223150,S1623223275,S1623223335,S1603233000,S1604120650,S1604120880,S1604131350,S1604223300,S1604233615,S1604336220,S1604336230,S1604336300,S1604346660,S1604449060,S1605110424,S1605223000,S1605346600,S1606233800,S1606314800,S1606417210,S1606420200,S1606427800,S1606438414,S1606438415,S1606449000,S1607120701,S1607131310,S1607131340,S1607141800,S1607212409,S1607223026,S1607244220,S1607244240,S1607244305,S1607314875,S1607417200,S1608110500,S1608141800,S1608233600,S1608314800,S1608325400,S1608336000,S1608417250,S1608427800,S1608449000,S1609110000,S1609131525,S1609140000,S1609234000,S1609244200,S1609300000,S1609417200,S1610110000,S1610131251,S1610131400,S1610212455,S1610223580,S1610233600,S1610233700,S1610244250,S1610314850,S1610325400,S1610336000,S1610417300,S1610427900,S1610440000,S1611110000,S1611330000,S1614222400,S1615110010,S1615110060,S1615141900,S1615314915,S1615336035,S1615347100,S1615430000,S1616110000,S1616120000,S1617110000,S1617120000,S1617141910,S1617212400,S1617314825,S1617336000,S1617420000,S1617449800,S1618110100,S1618131250,S1618417200,S1618417250,S1618417300,S1618427810,S1618427900,S1620110100,S1620120000,S1620130000,S1620231125,S1620340000,S1621100000,S1621200000,S1621400000,S1622110000,S1622110050,S1622120600,S1622141800,S1622212400,S1622212500,S1627223400,S1628100000,S1629110000"
588.41,19,1.05,,individual,"Ada County/Boise:I-1, Ada County/Boise:I-2",Low,0.74,220 W GOWEN RD,43.55154,-116.188456,"R1013770250,R1013770750,R1013690110,R3219910010,R3219910040,S1034110010,S1034120600,S1034120605,S1034120900,S1034120999,S1034131200,S1035131500,S1035223399,S1035233600,S1035314800,S1035346222,S1035427800,S1035438400,S1036336000"
319.03,1,4.76,,individual,Ada County/Boise:I-1,Low,0.362,4560 S ORCHARD ST,43.566918,-116.23966,S1029120615
222.29,14,1.89,,individual,"Ada County/Boise:A-1, Ada County/Boise:R-1C, Ada County/Boise:SP-01, Ada County/Boise:SP-02",Low,0.279,4775 E ARROW JUNCTION DR,43.572807,-116.125311,"R0805500010,R0805500080,R1719410055,R3482170150,S0930121091,S0930141860,S0919448585,S0929212400,S0929233900,S0929244200,S0929315200,S0929325500,S0929326100,S0930121067"
208.68,9,0.1,,individual,"Ada County/Boise:A-1, Ada County/Boise:I-1, Ada County/Boise:R-1C, Ada County/Boise:R-2",Low,0.731,5901 S QUAMASH WAY,43.54851,-116.147469,"R1179360210,R1179380090,R1179380105,R1525750910,R2322810012,R7909020015,R7909020254,S1606212405,S1606223219"
194.49,4,0.93,,individual,"Ada County/Boise:A-1, Ada County/Boise:I-1",Low,0.722,5040 S APPLE ST,43.554428,-116.16838,"S1036223165,S1036233600,S1036325400,S1036346600"
165.67,14,1.0,,individual,"Ada County/Boise:A-1, Ada County/Boise:I-1, Ada County/Boise:R-1A, Ada County/Boise:R-1C",Low,0.665,E AMITY RD,43.558996,-116.136599,"R0541500060,R0541500320,R1525760430,R1525770290,R5279760010,S0930347000,S0931110100,S0931120600,S0931120900,S0932212410,S0932223130,S0932244350,S0929325609,S0929325625"
145.73,11,0.91,,individual,"Ada County/Boise:A-1, Ada County/Boise:I-1, Ada County/Boise:I-2, Ada County/Boise:MX-3, Ada County/Boise:R-1C",Low,0.571,4965 S HOLCOMB RD,43.557368,-116.155919,"R3220000050,R5864320360,R5864320760,S0931223000,S1036110300,S1036120605,S1036120615,S1036120630,S1036120660,S1036142110,S1036212450"
64.1,3,4.34,,individual,Ada County/Boise:A-1,Low,0.176,451 N QUARRY VIEW PL,43.607447,-116.169221,"R5820550465,S1012346900,S1013212500"
