mi_from_subject,record_type,status,name,planning_area,review_authority,zoning,aia_zone,record_id
4.67,Project,Applications in Review,431 N MORNINGSIDE WAY,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN25-00750
4.69,Project,Neighborhood Meeting,Parcel S1505212450,Airport,Design Review Commission,MZC 2023,A,PLN26-00535
4.73,Design Review-Historic,In Review,1109 E WARM SPRINGS,North-East Ends,Historic Preservation Commission,MZC 2023,Outside AIA,DRH26-00078
4.73,Design Review-Historic,Returned to Applicant,1109 E WARM SPRINGS AVE,North-East Ends,Administrative,MZC 2023,Outside AIA,DRH26-00097
4.73,Project,Applications in Review,1109 E WARM SPRINGS,North-East Ends,Historic Preservation Commission,MZC 2023,Outside AIA,PLN26-00067
4.73,Project,Applications in Review,1109 E WARM SPRINGS AVE,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN26-00267
4.74,Project,Awaiting Applications,2618 S HAYDEN WAY - ADU,Central Bench,Administrative,MZC 2023,A,PLN26-00505
4.75,Design Review-Historic,In Review,1308 E JEFFERSON ST,North-East Ends,Administrative,MZC 2023,Outside AIA,DRH26-00037
4.75,Project,Applications in Review,1308 E JEFFERSON ST,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN25-01105
4.75,Project,Applications in Review,2814 S ROOSEVELT ST,Central Bench,Administrative,MZC 2023,A,PLN24-00749
4.78,Floodplain-Hillside,Awaiting Applications,573 N MORNINGSIDE WAY,North-East Ends,Administrative,MZC 2023,Outside AIA,CFH25-00088
4.78,Floodplain-Hillside,Returned to Applicant,573 N MORNINGSIDE WAY,North-East Ends,Administrative,MZC 2023,Outside AIA,CFH26-00049
4.78,Project,Applications in Review,573 N MORNINGSIDE WAY,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN26-00406
4.78,Project,Awaiting Applications,573 N MORNINGSIDE WAY,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN25-00670
4.79,Project,Applications in Review,1100 S VISTA AVE,Central Bench,Hearing Examiner,MZC 2023,Outside AIA,PLN25-00727
4.8,Conditional Use,Applicant Upload,3113 W OVERLAND RD - SUB,Central Bench,City Council,MZC 2023,Outside AIA,CUP25-00028
4.8,Design Review-Historic,Received,3705 W LEMHI ST,Central Bench,Administrative,MZC 2023,Outside AIA,DRH24-00026
4.8,Project,Denied,3113 W OVERLAND RD - SUB,Central Bench,City Council,MZC 2023,Outside AIA,PLN25-00195
4.8,Project,Expired,3705 W LEMHI ST,Central Bench,Administrative,MZC 2023,Outside AIA,PLN24-00011
4.81,Design Review-Historic,Received,1130 E BANNOCK ST,North-East Ends,Administrative,MZC 2023,Outside AIA,DRH24-00074
4.81,Project,Expired,1130 E BANNOCK ST,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN24-00208
4.82,Floodplain-Hillside,In Review,5121 W GOWEN RD CFH,Airport,Administrative,MZC 2023,C,CFH25-00098
4.82,Project,Applications in Review,5121 W GOWEN RD CFH,Airport,Administrative,MZC 2023,C,PLN25-01066
4.83,Floodplain-Hillside,Awaiting Applications,2710 E TABLE ROCK RD,Foothills,Administrative,MZC 2023,Outside AIA,CFH25-00091
4.83,Project,Awaiting Applications,2710 E TABLE ROCK RD,Foothills,Administrative,MZC 2023,Outside AIA,PLN25-00940
4.88,Annexation-Rezone,Awaiting Applications,5110 W LAKE HAZEL RD,Airport,City Council,MZC 2023,A,CAR26-00008
4.88,Annexation-Rezone,Awaiting Applications,5110 W LAKE HAZEL RD,Airport,City Council,MZC 2023,A,CAR26-00009
4.88,Design Review-Historic,Awaiting Applications,919 E BANNOCK ST,North-East Ends,Administrative,MZC 2023,Outside AIA,DRH25-00223
4.88,Project,Awaiting Applications,5110 W LAKE HAZEL RD,Airport,City Council,MZC 2023,A,PLN26-00465
4.88,Project,Awaiting Applications,919 E BANNOCK ST,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN25-00521
4.89,Project,Applications in Review,2612 E PLATEAU DR,Foothills,Administrative,MZC 2023,Outside AIA,PLN26-00103
4.92,Floodplain-Hillside,Awaiting Applications,2020 E MORTIMER CT,North-East Ends,Administrative,MZC 2023,Outside AIA,CFH26-00014
4.92,Project,Cancelled,2020 E MORTIMER CT,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN26-00052
4.95,Project,Neighborhood Meeting,2705 W LAMPERT DR,Central Bench,Planning & Zoning Commission,MZC 2023,Outside AIA,PLN25-00851
4.99,Design Review-Historic,Awaiting Applications,740 E WARM SPRINGS AVE,North-East Ends,Administrative,MZC 2023,Outside AIA,DRH26-00003
4.99,Project,Applications in Review,604 N WALNUT ST,North-East Ends,Hearing Examiner,MZC 2023,Outside AIA,PLN25-01047
4.99,Project,Awaiting Applications,740 E WARM SPRINGS AVE,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN25-01131
5.0,Annexation-Rezone,Awaiting Applications,3676 W DORIAN ST,Central Bench,City Council,MZC 2023,Outside AIA,CAR26-00007
5.0,Conditional Use,Awaiting Applications,3676 W DORIAN ST,Central Bench,City Council,MZC 2023,Outside AIA,CUP26-00019
5.0,Design Review-Historic,Awaiting Applications,3676 W DORIAN ST,Central Bench,City Council,MZC 2023,Outside AIA,DRH26-00193
5.0,Project,Awaiting Applications,3676 W DORIAN ST,Central Bench,City Council,MZC 2023,Outside AIA,PLN26-00059
5.0,Record of Survey,Awaiting Applications,3676 W DORIAN ST,Central Bench,City Council,MZC 2023,Outside AIA,ROS26-00024
